well_id,pad_id,fold,representative_x,representative_y,total_rows,visible_rows,hidden_rows
1e30dedf,1e30dedf,2,2995568.300000,1129468.890000,5474,1403,4071
1e5e3573,1e5e3573,3,3026627.955000,1118656.130000,7126,1646,5480
1f9afacb,1f9afacb,4,3007366.650000,1101083.525000,7054,1726,5328
1fdbba44,1fdbba44,4,2948627.730000,1017876.690000,6333,1422,4911
1fee2b62,1fee2b62,0,2996935.330000,1072824.620000,6323,1682,4641
20096916,20096916,3,3000707.625000,1098498.320000,6880,1747,5133
200d233d,200d233d,3,3009838.570000,1102952.025000,5896,1970,3926
201661b5,201661b5,1,3026634.770000,1110734.950000,8136,2181,5955
203721ab,203721ab,0,2901352.950000,1022834.230000,7235,1505,5730
20402d71,20402d71,2,2883115.640000,1023718.150000,7930,1558,6372
2043abc5,2043abc5,2,2982621.440000,1107189.230000,8513,1555,6958
204cc64b,204cc64b,4,3021918.880000,1084584.885000,6454,1649,4805
206b6193,206b6193,1,2979174.520000,1095713.500000,8568,2033,6535
2075c696,2075c696,3,2901166.175000,1038802.085000,5580,2392,3188
22c5f93f,22c5f93f,1,3000378.780000,1098354.770000,6919,1747,5172
230eaaa3,230eaaa3,3,2982548.200000,1098673.320000,6451,1761,4690
2364716c,2364716c,3,2954211.050000,1073745.010000,6093,1777,4316
23b9beb0,23b9beb0,2,2985557.900000,1082159.220000,8790,1450,7340
24d8997e,24d8997e,2,2917383.835000,1047745.995000,5188,1746,3442
25050f63,25050f63,3,2886915.420000,1027588.140000,7155,1031,6124
25939962,25939962,2,3012487.030000,1096107.060000,6071,1752,4319
25fd32b3,25fd32b3,2,2918261.665000,1043389.070000,4546,1661,2885
261785ee,261785ee,2,2988234.865000,1091003.830000,5512,1866,3646
264feceb,264feceb,0,2901744.970000,1028878.830000,7408,1743,5665
26623a50,26623a50,3,3001124.390000,1112795.650000,7479,1744,5735
26d3a96a,26d3a96a,4,3021537.270000,1084437.420000,6465,1744,4721
272abef3,272abef3,2,2993798.020000,1093652.155000,5682,1547,4135
27300fd5,27300fd5,2,3014615.755000,1083348.920000,7386,1919,5467
276b012a,276b012a,1,3010481.390000,1071661.860000,6291,1454,4837
27c3155b,27c3155b,4,3035445.910000,1093310.650000,6941,1983,4958
27ebb9b9,27ebb9b9,3,2921845.000000,1018646.950000,7651,1885,5766
283269ac,283269ac,3,2979644.610000,1098640.050000,4567,1941,2626
28473855,28473855,4,2962728.435000,1079295.685000,6620,2330,4290
28f4eda9,28f4eda9,0,2885977.145000,1026992.050000,6824,1558,5266
29b24409,29b24409,0,2905474.850000,1036940.130000,7417,1830,5587
29de15c8,29de15c8,4,3012292.820000,1117521.400000,5164,1733,3431
2ab29395,2ab29395,1,2999635.740000,1088131.430000,3325,1473,1852
2ac7cb6b,2ac7cb6b,2,2993043.460000,1124462.430000,6451,1461,4990
2acc78d4,2acc78d4,4,3008522.140000,1108351.050000,6109,1843,4266
2b034622,2b034622,0,2858227.300000,1043154.570000,6761,1558,5203
2b06ad65,2b06ad65,0,3011751.075000,1118034.890000,5706,1450,4256
2b547943,2b547943,2,3000531.680000,1088016.190000,5131,1651,3480
2be5c96a,2be5c96a,2,2998578.200000,1092550.630000,5753,1543,4210
2bff06cf,2bff06cf,2,2922758.770000,1058785.210000,9174,1550,7624
2c0c4a4e,2c0c4a4e,4,2958936.620000,1077258.380000,6719,1929,4790
2cee0cba,2cee0cba,0,2896257.890000,1034333.950000,7335,1835,5500
2d0c268a,2d0c268a,4,3002745.370000,1119199.960000,6289,1739,4550
2d179ded,2d179ded,1,2868503.440000,1028122.860000,9225,2217,7008
2d196986,2d196986,4,2911985.575000,1040099.065000,8316,1842,6474
2d2d0c6b,2d2d0c6b,4,2921044.400000,1044383.590000,6967,1922,5045
2d35f86d,2d35f86d,1,3000418.365000,1105167.605000,6628,1732,4896
2d9f6cb9,2d9f6cb9,1,3008474.400000,1078575.910000,8627,1289,7338
2ddad940,2ddad940,1,2973280.705000,1063750.110000,6812,1481,5331
2e29e833,2e29e833,2,3023282.825000,1111272.720000,7254,1826,5428
2e43c2ea,2e43c2ea,2,2914929.910000,1045918.680000,7349,1651,5698
2e63d9de,2e63d9de,1,3023707.530000,1095305.630000,6505,1806,4699
2ee0235b,2ee0235b,0,2901566.170000,1028562.565000,7256,1700,5556
2f19d536,2f19d536,0,3002548.255000,1077343.110000,4744,1656,3088
2f8e53c3,2f8e53c3,1,3011863.230000,1108801.280000,4133,1539,2594
2fa01aa6,2fa01aa6,4,3022945.670000,1087008.970000,3860,1686,2174
2fd68f7b,2fd68f7b,4,2998276.520000,1125327.010000,6381,1651,4730
2fe023be,2fe023be,3,2989156.940000,1091513.240000,6060,1839,4221
30d75030,30d75030,1,2991872.910000,1116103.710000,5009,1605,3404
310c71a5,310c71a5,1,2905291.685000,1034435.530000,6988,1743,5245
32fe84c9,32fe84c9,4,2984625.530000,1069276.210000,8163,1755,6408
33c40295,33c40295,4,2987259.640000,1088201.590000,5989,1820,4169
3407f5bf,3407f5bf,1,2929977.970000,1053900.450000,5309,1671,3638
3417285d,3417285d,0,2983486.065000,1058503.030000,7458,2009,5449
347242c8,347242c8,2,3014944.710000,1117525.460000,5437,1842,3595
353e5502,353e5502,4,2920410.980000,1049543.120000,7901,1839,6062
357c12f9,357c12f9,2,2939496.625000,1066107.685000,5770,1691,4079
3584a6eb,3584a6eb,0,3010153.225000,1095092.325000,6150,1656,4494
35b30c7f,35b30c7f,3,2953268.060000,1075888.280000,11270,1691,9579
35b3ef6a,35b3ef6a,4,2936887.155000,1071262.620000,5736,1832,3904
367456ce,367456ce,2,2996021.095000,1118759.155000,7312,1743,5569
368131f9,368131f9,1,2998256.470000,1104314.760000,6568,1577,4991
368fe682,368fe682,0,2900629.925000,1028553.945000,6416,1480,4936
3690a146,3690a146,1,2911307.510000,1038556.950000,5761,1688,4073
37344c2a,37344c2a,2,2919935.710000,1042935.600000,6943,1746,5197
373ef48b,373ef48b,0,2905740.605000,1025783.080000,4992,1483,3509
374be387,374be387,2,2872826.230000,1029864.290000,11802,1837,9965
37d36812,37d36812,1,3008648.420000,1094702.250000,6017,1650,4367
38991fd4,38991fd4,0,2933888.570000,1057272.200000,6545,1747,4798
389ae58f,389ae58f,3,2973140.000000,1068854.520000,8201,1738,6463
3932faa6,3932faa6,1,2920908.620000,1018259.620000,7388,1936,5452
398dce4b,398dce4b,4,2952959.780000,1085072.090000,5005,1839,3166
39b51819,39b51819,0,2920697.285000,1050890.510000,6382,2151,4231
3a0af893,3a0af893,3,3021047.430000,1107088.495000,4580,1653,2927
3a223519,3a223519,0,2945569.210000,1012470.550000,6581,1998,4583
3a7dd95d,3a7dd95d,0,2916177.670000,1032065.570000,4320,1248,3072
3a824aa7,3a824aa7,4,3011522.005000,1095931.175000,5678,1477,4201
3a86fe8d,3a86fe8d,4,2989669.225000,1098654.805000,6572,1454,5118
3aaa2b30,3aaa2b30,2,2992174.910000,1117301.100000,6396,1685,4711
3ac16ad0,3ac16ad0,2,2890727.510000,1022163.850000,7412,1763,5649
3b21ea64,3b21ea64,0,3008952.660000,1078511.810000,9103,1727,7376
3bbe1f5d,3bbe1f5d,3,2906210.470000,1028460.975000,8184,1266,6918
3bfee975,3bfee975,0,3001179.950000,1088266.675000,5088,1485,3603
3c3dbcbc,3c3dbcbc,0,3001046.810000,1098605.980000,6911,1842,5069
3d96d897,3d96d897,3,2908021.960000,1029592.210000,7147,1488,5659
3df4b19e,3df4b19e,1,3006077.010000,1119283.040000,6658,1670,4988
3e011332,3e011332,2,2985806.760000,1086965.590000,4842,2119,2723
3e678ea7,3e678ea7,2,3017743.630000,1091525.120000,8737,1879,6858
3ef6372a,3ef6372a,1,2982893.310000,1099002.835000,6666,1939,4727
3ef98781,3ef98781,0,3012125.090000,1117763.190000,5343,1451,3892
3f603129,3f603129,1,3005376.820000,1133232.300000,6599,1548,5051
404c4384,404c4384,3,2955949.655000,1086071.365000,2612,1701,911
4121c517,4121c517,0,3007818.380000,1131000.010000,5471,1748,3723
41fb0192,41fb0192,0,3007292.440000,1075808.940000,4381,1408,2973
42669188,42669188,1,2969948.470000,1062639.625000,6080,1798,4282
42c538a1,42c538a1,1,2909040.660000,1022242.125000,4762,1483,3279
43b06c70,43b06c70,1,3005407.910000,1107461.225000,6590,1744,4846
43c7f85a,43c7f85a,0,2888068.805000,1019344.800000,7484,1506,5978
43e16325,43e16325,2,2928951.410000,1048821.610000,5845,2125,3720
44441e54,44441e54,2,3011782.380000,1107953.945000,5568,1211,4357
445af6c2,445af6c2,2,2909549.485000,1035260.880000,7998,1957,6041
4463446c,4463446c,3,2946432.450000,1072619.820000,4729,1473,3256
44a94013,44a94013,2,2888845.305000,1029838.360000,6492,1589,4903
45fb3e21,45fb3e21,4,2990730.455000,1092261.670000,5626,1977,3649
460f859e,460f859e,3,2914396.260000,1040462.910000,4982,1646,3336
4630ab92,4630ab92,4,3013723.530000,1102287.300000,5307,1934,3373
463c38f2,463c38f2,4,2935152.495000,1058612.545000,6048,1588,4460
4654e7de,4654e7de,0,2909072.895000,1030570.320000,7010,1637,5373
466fc788,466fc788,2,3009789.210000,1101588.000000,7767,1570,6197
46a301e9,46a301e9,1,2973988.375000,1095837.420000,9962,1736,8226
46a7190b,46a7190b,4,3025382.270000,1097658.345000,5646,1431,4215
46d24a09,46d24a09,1,2948924.060000,1017951.710000,6123,1674,4449
46d41ff6,46d41ff6,0,2991883.015000,1067424.745000,9226,1325,7901
46dfcfca,46dfcfca,3,3024996.830000,1097859.490000,4921,1315,3606
47222616,47222616,4,3009746.970000,1095094.030000,5835,1429,4406
47ee27ab,47ee27ab,3,2981129.590000,1105961.360000,8274,1877,6397
481de5fc,481de5fc,0,2922937.050000,1018791.670000,7694,1742,5952
48c1f673,48c1f673,0,2997527.425000,1129502.670000,4666,1749,2917
4936af16,4936af16,4,2990976.090000,1117758.160000,5559,1568,3991
493b5b31,493b5b31,2,3035331.535000,1093157.190000,6884,2213,4671
49dbc14c,49dbc14c,0,2911734.005000,1045024.565000,5198,1326,3872
4a035ec2,4a035ec2,3,3006846.890000,1075742.795000,4522,1934,2588
4a335117,4a335117,1,2914551.470000,1046837.300000,6727,1712,5015
4a8ecc0b,4a8ecc0b,1,3005340.750000,1100605.220000,7374,1565,5809
4b462989,4b462989,4,2927513.085000,1057296.760000,4738,1632,3106
4b831d20,4b831d20,3,3009608.630000,1078628.840000,9433,2121,7312
4c2208f5,4c2208f5,2,3034684.480000,1091190.635000,7248,1864,5384
4c3168cf,4c3168cf,2,3011576.510000,1118126.410000,5959,1625,4334
4c3df468,4c3df468,4,2885142.860000,1017488.700000,6903,1511,5392
4caa7289,4caa7289,2,2902093.415000,1033387.250000,6854,1458,5396
4cd1ac61,4cd1ac61,2,3004767.520000,1107010.930000,6709,2220,4489
4cecf7b3,4cecf7b3,0,3009358.290000,1101632.555000,7676,1657,6019
4ddde4c1,4ddde4c1,4,3006916.880000,1131767.680000,6417,1945,4472
4e050c92,4e050c92,4,3012353.445000,1107769.820000,5236,1531,3705
4ed93db6,4ed93db6,1,3007424.500000,1119330.170000,6496,1839,4657
4f3eb9e9,4f3eb9e9,0,3005376.010000,1119702.360000,5911,1214,4697
4f4ac5ce,4f4ac5ce,4,2897495.770000,1026781.080000,6899,1737,5162
4f4afcc6,4f4afcc6,4,2907253.740000,1028846.850000,7184,1539,5645
4f69febf,4f69febf,1,2886699.380000,1027129.820000,7599,2139,5460
4fbe9c06,4fbe9c06,1,2909741.735000,1035548.285000,7938,1651,6287
504c8b08,504c8b08,0,2912666.070000,1040362.685000,8012,1645,6367
511e1db0,511e1db0,1,2938538.320000,1061454.980000,5645,1824,3821
512943b2,512943b2,2,3004610.120000,1114282.930000,6681,1652,5029
5138a660,5138a660,3,3013072.300000,1107572.770000,4829,1270,3559
516088b7,516088b7,4,2981714.170000,1106643.775000,8300,1655,6645
521a7819,521a7819,4,2905655.965000,1039902.380000,7224,2024,5200
5254b6db,5254b6db,0,2920532.360000,1014970.520000,5115,1841,3274
529e88ca,529e88ca,1,3003544.050000,1137698.080000,5253,1836,3417
52f1e77a,52f1e77a,4,3023024.040000,1118282.910000,6053,1611,4442
5305524b,5305524b,4,2888402.100000,1029468.570000,6457,1559,4898
53134831,53134831,4,3025721.250000,1118728.120000,7214,2088,5126
5397ceb1,5397ceb1,0,2991631.060000,1086710.640000,6811,1556,5255
53f23031,53f23031,0,2985749.445000,1081692.120000,10200,1650,8550
543198e8,543198e8,0,2921822.020000,1058582.090000,8311,1808,6503
54753541,54753541,0,2945027.520000,1063982.840000,5679,1653,4026
54a7e3c2,54a7e3c2,1,2970092.190000,1098323.300000,7893,1738,6155
5542c301,5542c301,2,2927812.720000,1057560.010000,5433,1842,3591
5567d551,5567d551,4,2989163.190000,1104924.095000,8390,1501,6889
55efee7f,55efee7f,3,2935610.340000,1058744.530000,6577,1776,4801
5663b2b7,5663b2b7,3,2921900.120000,1018282.210000,6907,1935,4972
5693dde2,5693dde2,1,3020858.645000,1112274.915000,4846,1358,3488
56b00794,56b00794,1,2920038.760000,1043285.450000,7293,1228,6065
57796579,57796579,4,2937590.235000,1061192.820000,7622,1732,5890
577eec7c,577eec7c,1,2862848.150000,1040594.550000,6085,1546,4539
57f05c51,57f05c51,1,3035590.120000,1093411.095000,6478,1707,4771
58850d2c,58850d2c,0,3026374.560000,1096171.120000,6918,1923,4995
58fa8486,58fa8486,0,2920712.680000,1015918.965000,6126,1651,4475
591cc951,591cc951,1,2936346.570000,1059315.920000,6669,2060,4609
593876b6,593876b6,0,3006658.525000,1114046.500000,6366,1524,4842
59f8b2e8,59f8b2e8,2,2901764.215000,1010784.295000,5668,1921,3747
5a1a8fd8,5a1a8fd8,4,3001675.505000,1099430.720000,6814,1554,5260
5a5269a9,5a5269a9,1,2994809.310000,1111177.180000,8053,1540,6513
5a5d1982,5a5d1982,2,2908875.840000,1032841.915000,5446,1552,3894
5a63b5d1,5a63b5d1,1,2886210.335000,1010711.045000,8052,1835,6217
5aa03df7,5aa03df7,3,2978805.560000,1089114.630000,6752,1881,4871
5aa403d0,5aa403d0,1,2926962.100000,1056847.255000,4702,1584,3118
5aef5c6c,5aef5c6c,2,2968964.380000,1072944.240000,4853,1732,3121
5b7b6324,5b7b6324,4,2994723.730000,1067367.010000,8197,1633,6564
5bd25f59,5bd25f59,3,2997081.730000,1129259.625000,6120,1910,4210
5beded95,5beded95,2,2984093.960000,1101234.370000,4779,1722,3057
5cb483ac,5cb483ac,1,3012005.840000,1107764.520000,5206,1354,3852
5cdd8dbc,5cdd8dbc,0,2912002.080000,1043397.030000,5751,1741,4010
5d11dfb5,5d11dfb5,1,2981043.140000,1055494.040000,7643,1748,5895
5d7198fd,5d7198fd,2,3019158.710000,1107199.820000,4797,1429,3368
5def1ce5,5def1ce5,2,2908622.540000,1034308.520000,7997,1554,6443
5eae34a8,5eae34a8,1,2898567.925000,1034286.480000,6652,1748,4904
5f4d2a52,5f4d2a52,3,2998060.125000,1118493.505000,7112,1887,5225
5f6756c5,5f6756c5,2,3015885.005000,1108114.285000,8064,2133,5931
5f75f796,5f75f796,1,3016605.810000,1084256.590000,7324,1762,5562
5fb1c15f,5fb1c15f,1,2928556.410000,1057822.940000,4857,1997,2860
5fffa282,5fffa282,1,2989404.430000,1098444.140000,6223,2022,4201
60e37807,60e37807,2,2986123.330000,1087149.130000,4641,1942,2699
61f27424,61f27424,0,2980051.930000,1055226.570000,8341,2121,6220
62569ae3,62569ae3,4,3022226.050000,1117014.950000,5242,1654,3588
62a6f539,62a6f539,3,2917078.960000,1047549.850000,5253,1560,3693
633774dc,633774dc,3,2969502.715000,1097773.180000,7972,1739,6233
63559d57,63559d57,3,3014669.665000,1111756.840000,5810,1741,4069
647f2a41,647f2a41,2,2999099.315000,1092848.470000,5836,1955,3881
65156b96,65156b96,0,2925989.920000,1056846.620000,5046,1825,3221
653612bc,653612bc,3,3025048.705000,1118506.190000,5946,1341,4605
656a067b,656a067b,3,3007966.110000,1131141.590000,4896,1845,3051
65a5466a,65a5466a,1,2999210.050000,1125215.340000,6117,1434,4683
660d9546,660d9546,2,3023974.775000,1118247.865000,6140,1408,4732
6767c111,6767c111,0,3005409.685000,1137131.940000,8354,1571,6783
67847288,67847288,4,3007179.245000,1077824.905000,9174,1745,7429
67a8da4a,67a8da4a,4,3021040.410000,1084114.690000,6645,1734,4911
684a6fc1,684a6fc1,4,2961370.600000,1077006.790000,11449,1631,9818
698930d1,698930d1,1,3007159.340000,1131518.720000,6498,1757,4741
699ea575,699ea575,0,3012222.390000,1102309.225000,5474,1354,4120
69c1bdad,69c1bdad,4,2979257.130000,1098321.910000,4645,1931,2714
69e41fa6,69e41fa6,0,3021718.600000,1115979.690000,7167,1395,5772
6a0ff78e,6a0ff78e,3,2908906.775000,1034498.230000,7890,1425,6465
6a8fa194,6a8fa194,2,2910211.810000,1017496.380000,4657,1640,3017
6ae68655,6ae68655,1,2989617.255000,1059277.440000,5948,1744,4204
6d1d74e1,6d1d74e1,0,2885718.765000,1017654.100000,7316,1486,5830
6d590e26,6d590e26,4,2995110.240000,1117932.665000,7842,1746,6096
6d6d93af,6d6d93af,1,2902116.360000,1011496.450000,5305,1710,3595
6dbe4b60,6dbe4b60,2,3004980.820000,1114254.710000,6673,2025,4648
6e6d122c,6e6d122c,2,3010111.050000,1089404.390000,7083,1451,5632
6e9ccd38,6e9ccd38,2,2869614.090000,1028870.060000,9619,1337,8282
6ea22614,6ea22614,3,2992879.640000,1118229.065000,7894,1923,5971
6ede926a,6ede926a,1,2902530.540000,1033385.630000,6621,1683,4938
708caea9,708caea9,2,3005960.915000,1137374.815000,8482,1934,6548
70925e23,70925e23,3,3024110.595000,1078114.295000,8072,2125,5947
70e1788b,70e1788b,2,2871714.025000,1029507.235000,11338,2053,9285
71642c7d,71642c7d,3,2944918.950000,1012487.850000,6657,2009,4648
71ccf778,71ccf778,0,2910987.940000,1018071.820000,4623,1925,2698
7224331b,7224331b,3,2982066.335000,1055773.915000,7566,1503,6063
722cf0d8,722cf0d8,2,2887420.820000,1027956.520000,7275,2132,5143
7256229b,7256229b,3,2997083.555000,1119131.540000,6972,1557,5415
726f3dc2,726f3dc2,2,2981006.700000,1105807.240000,8619,1896,6723
7271dd80,7271dd80,1,2958128.070000,1077026.570000,5765,1425,4340
727a3a10,727a3a10,2,3035218.410000,1098462.420000,6342,1945,4397
729665c0,729665c0,3,2999482.900000,1093022.660000,5775,1512,4263
729e9750,729e9750,1,2888895.510000,1020234.530000,7427,1508,5919
729f4217,729f4217,3,2910130.405000,1035638.790000,7592,1397,6195
72dd8501,72dd8501,4,3007087.300000,1101371.340000,6928,1735,5193
73348914,73348914,1,2944822.805000,1012201.030000,5686,1465,4221
739a914f,739a914f,0,3008921.990000,1114377.510000,7319,1814,5505
73b1447d,73b1447d,1,3009625.425000,1089405.215000,7522,1852,5670
74b6186b,74b6186b,0,2957772.785000,1089212.810000,5148,1743,3405
75c20ec7,75c20ec7,0,3003272.160000,1092353.910000,7205,1844,5361
75cd5f11,75cd5f11,2,2909927.510000,1037520.880000,6410,1464,4946
75d20a82,75d20a82,3,2921870.660000,1018319.460000,7002,1935,5067
76201745,76201745,3,2999535.325000,1125145.880000,5858,1410,4448
764072a5,764072a5,3,2909820.665000,1041536.735000,4594,1645,2949
77b0d905,77b0d905,2,3010861.190000,1095542.040000,5923,1749,4174
77e4821c,77e4821c,1,2921674.710000,1044817.190000,6540,1147,5393
7850c72e,7850c72e,1,3036334.310000,1093668.520000,7712,2215,5497
78a4a386,78a4a386,1,2981301.735000,1105761.610000,6246,1127,5119
79507629,79507629,4,2999792.870000,1073850.575000,7320,2018,5302
796dbd4c,796dbd4c,2,2993206.770000,1118387.030000,8069,1821,6248
7987f2f2,7987f2f2,1,3014192.090000,1111952.720000,5714,2009,3705
7993a768,7993a768,0,2986226.430000,1061392.160000,7047,1560,5487
7a5660b0,7a5660b0,4,3019304.350000,1089919.710000,6936,1938,4998
7acda2df,7acda2df,2,2916682.095000,1042048.375000,4552,1461,3091
7b2c7b3c,7b2c7b3c,1,2986662.670000,1087537.110000,4231,1647,2584
7b38844c,7b38844c,3,3011671.140000,1107767.530000,5197,1448,3749
7bb17b96,7bb17b96,1,3013613.030000,1107654.640000,5295,1373,3922
7c607683,7c607683,2,2906653.810000,1040907.550000,7001,1673,5328
7cbbd047,7cbbd047,3,3017004.750000,1111877.960000,6790,1669,5121
7cd4bb31,7cd4bb31,0,2905769.770000,1027866.350000,7959,1520,6439
7d50373e,7d50373e,2,2902213.135000,1023943.645000,6494,1372,5122
7d57c75d,7d57c75d,0,3003941.830000,1130189.390000,6147,1742,4405
7e208414,7e208414,3,3010766.390000,1108001.895000,5732,1506,4226
7e721392,7e721392,3,2885744.420000,1010561.870000,8301,2127,6174
7ff89f8f,7ff89f8f,0,2869521.200000,1028192.970000,9539,2202,7337
8050c789,8050c789,3,3007194.055000,1084646.945000,4940,1863,3077
807f0298,807f0298,1,3006248.120000,1138894.020000,5499,1752,3747
811f52b3,811f52b3,3,2905180.870000,1034024.065000,6674,1838,4836
81bf5923,81bf5923,3,3035579.880000,1098920.845000,6386,1843,4543
81fc01c6,81fc01c6,3,2954553.230000,1088108.410000,7655,1746,5909
8255c867,8255c867,0,2915362.540000,1040796.360000,5338,1749,3589
